[2026-07-02T12:44:12.882Z] GET https://aarna.rjglobalgroup.in/ → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/static/media/5c285b27cdda1fe8-s.p.0yo6-5yoeeudq.woff2 → 200 (655ms, 36980B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/static/media/5e5dfa9e86f764b8-s.p.0o9~3wzuvo.a_.woff2 → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/static/media/8c2eb9ceedecfc8e-s.p.0oeo8epbafgia.woff2 → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/image?url=%2Fimages%2Fhiw-1.png&w=750&q=75 → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/image?url=%2Fimages%2Ffinal-cta-bg.png&w=1920&q=70 → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/static/chunks/0zudeozf9uo46.css → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/static/chunks/05657rftlrwg~.js → pending (?ms, ?B)
[2026-07-02T12:44:13.934Z] GET https://aarna.rjglobalgroup.in/_next/static/chunks/0pqt~8bl3ukh4.js → pending (?ms, ?B)
[2026-07-02T12:44:13.935Z] GET https://aarna.rjglobalgroup.in/_next/static/chunks/0e-wrhqh4h3r5.js → pending (?ms, ?B)
[2026-07-02T12:44:13.935Z] GET https://aarna.rjglobalgroup.in/_next/static/chunks/0yoi6g0rt32bk.js → pending (?ms, ?B)
[2026-07-02T12:44:13.935Z] GET https://aarna.rjglobalgroup.in/_next/static/chunks/turbopack-0peg15p00e0fa.js → pending (?ms, ?B)
